province,district,street,price_unit,price_value,price_absolute,area,type,front,room,toilet,floor,attributes
01,006,Đê La Thành,1,8.99,8990.0,25.0,1,4.5,1,1,5,"Ô tô, Mặt phố, Kinh doanh"
01,006,Thái Thịnh,1,10.8,10800.0,24.0,1,3.0,4,4,5,"Mặt phố, Kinh doanh, Ô tô"
01,006,Chùa Mỹ Quang,1,5.35,5350.0,33.0,1,3.5,6,6,5,Ngõ
01,006,Đông Tác,1,5.95,5950.0,49.0,1,4.0,5,5,5,Ngõ
01,006,Chợ Khâm Thiên,1,12.0,12000.0,85.0,1,3.63,0,0,7,Dòng tiền
01,006,Trường Chinh,1,9.3,9300.0,58.0,1,4.4,0,0,2,"Ô tô, Kinh doanh, Dòng tiền"
01,006,Thổ Quan,1,7.9,7900.0,34.0,1,3.5,4,0,4,Ngõ
01,006,Chợ Khâm Thiên,1,6.1,6100.0,44.0,1,4.2,4,2,3,Ngõ
01,006,Kim Hoa,1,4.9,4900.0,20.0,1,2.3,5,6,6,Mặt phố
01,006,Thái Hà,1,12.9,12900.0,32.0,1,6.0,6,6,6,"Ô tô, Thang máy, Kinh doanh, Ngõ"
01,006,Chợ Khâm Thiên,1,6.3,6300.0,36.0,1,3.8,5,1,5,"Kinh doanh, Ô tô, Ngõ"
01,006,Tây Sơn,1,4.2,4200.0,31.0,1,3.5,3,3,4,Ô tô
01,006,Đường Láng,1,8.0,8000.0,56.0,1,4.1,8,4,4,"Kinh doanh, Ngõ"
01,006,Ô Chợ Dừa,1,20.7,20700.0,40.0,1,4.5,4,4,4,"Mặt phố, Kinh doanh"
01,006,Tôn Đức Thắng,1,23.0,23000.0,91.0,1,5.1,5,2,3,"Mặt phố, Kinh doanh"
01,006,Tôn Đức Thắng,1,24.0,24000.0,95.0,1,7.5,3,1,5,"Ô tô, Kinh doanh, Ngõ"
01,006,La Thành,1,10.8,10800.0,84.0,1,12.0,0,0,3,"Ô tô, Kinh doanh, Ngõ"
01,006,Khâm Thiên,1,35.0,35000.0,90.0,1,6.0,2,1,4,Kinh doanh
01,006,Nguyễn Khuyến,1,29.5,29500.0,101.0,1,4.0,10,6,6,"Mặt phố, Kinh doanh, Ô tô"
01,006,Thổ Quan,1,7.5,7500.0,63.0,1,6.2,7,3,5,Ngõ
01,006,Ô Đồng Lầm,1,23.5,23500.0,90.0,1,4.6,9,5,5,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
01,006,Chùa Láng ( Huỳnh Thúc Kháng kéo dài),1,51.0,51000.0,88.4,1,24.0,4,0,5,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
01,006,Linh Quang,1,16.5,16500.0,66.0,1,6.2,18,18,8,"Kinh doanh, Dòng tiền, Thang máy, Ngõ"
01,006,Trần Quý Cáp,1,8.0,8000.0,57.0,1,8.0,0,0,4,Dòng tiền
01,006,Chùa Bộc,1,16.8,16800.0,80.0,1,5.0,0,0,5,"Ô tô, Kinh doanh, Dòng tiền"
01,006,Đặng Tiến Đông,1,20.0,20000.0,96.0,1,4.7,0,0,3,"Ô tô, Kinh doanh, Ngõ"
01,006,Nguyễn Lương Bằng,1,22.5,22500.0,68.0,1,5.0,5,2,3,"Mặt phố, Kinh doanh"
01,006,Đê La Thành,1,10.5,10500.0,80.0,1,6.0,11,4,5,"Chung cư, Dòng tiền, Ngõ"
01,006,Trần Quý Cáp,1,4.05,4050.0002,21.0,1,2.4,5,5,5,Ngõ
01,006,La Thành,1,3.8,3800.0,33.0,1,3.0,5,4,4,Ngõ
01,006,An Trạch 1,1,8.6,8600.0,42.0,1,5.4,9,5,6,Dòng tiền
01,006,Trần Quang Diệu,1,34.8,34800.0,65.0,1,4.0,7,7,7,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền, Thang máy"
01,006,Phạm Ngọc Thạch,1,8.5,8500.0,24.0,1,3.2,0,0,2,"Mặt phố, Kinh doanh, Dòng tiền"
01,006,Lê Duẩn,1,9.6,9600.0,22.0,1,4.0,4,3,4,"Mặt phố, Kinh doanh"
01,006,Trường Chinh,1,15.0,15000.0,48.7,1,5.2,0,0,2,"Mặt phố, Ô tô, Kinh doanh"
01,006,Đường Láng,1,5.0,5000.0,25.0,1,3.0,5,5,5,Ngõ
01,006,Linh Quang,1,11.8,11800.0,55.0,1,4.0,8,6,5,"Ô tô, Kinh doanh, Ngõ"
01,006,A4 TT Nam Đồng,1,4.2,4200.0,160.0,1,6.0,6,1,2,Chung cư
01,006,Huỳnh Thúc Kháng,1,16.0,16000.0,40.0,1,3.6,0,0,7,"Ô tô, Kinh doanh, Thang máy, Ngõ"
01,006,Vĩnh Hồ,1,11.2,11200.0,60.0,1,3.3,6,4,4,"Ô tô, Mặt phố, Kinh doanh"
01,006,Giải Phóng,1,13.4,13400.0,27.0,1,5.8,0,0,5,"Ô tô, Mặt phố, Kinh doanh"
01,006,Quốc Tử Giám,1,12.2,12200.0,47.0,1,9.0,0,0,1,"Mặt phố, Kinh doanh, Dòng tiền"
01,006,Tôn Đức Thắng,1,61.0,61000.0,128.0,1,4.1,0,0,1,"Mặt phố, Ô tô, Kinh doanh, Chung cư, Dòng tiền, Thang máy"
01,006,Pháo Đài Láng,1,23.0,23000.0,72.0,1,3.4,0,0,3,"Dòng tiền, Ngõ"
01,006,Tôn Đức Thắng,1,120.0,120000.0,136.0,1,5.1,8,8,9,"Ô tô, Mặt phố, Kinh doanh, Chung cư, Dòng tiền, Thang máy"
01,006,Đường Láng,1,220.0,220000.0,242.0,1,22.0,0,0,12,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền, Thang máy"
01,006,Lê Duẩn,1,2.95,2950.0,25.0,1,2.5,2,2,4,"Mặt phố, Kinh doanh, Ô tô, Dòng tiền"
01,006,Trần Quang Diệu (Tây Sơn),1,7.65,7650.0,31.0,1,7.2,3,3,5,Ngõ
01,006,Đê La Thành,1,5.75,5750.0,40.0,1,3.7,7,4,4,Ngõ
01,006,Đê La Thành,1,17.9,17900.0,72.0,1,4.2,3,3,5,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
01,006,Chợ Khâm Thiên,1,4.65,4650.0,24.0,1,3.0,3,0,4,Ngõ
01,006,Lương Định Của,1,8.95,8950.0,28.0,1,3.4,4,5,6,Ngõ
01,006,Vĩnh Hồ,1,9.3,9300.0,42.0,1,3.1,4,1,5,Ngõ
01,006,Nguyễn Lương Bằng,1,10.9,10900.0,45.0,1,3.6,5,2,3,Ngõ
01,006,Đặng Văn Ngữ,1,3.85,3850.0,22.0,1,3.6,4,2,4,Ngõ
01,006,Chợ Khâm Thiên,1,4.75,4750.0,25.0,1,4.0,4,2,4,Ngõ
01,006,Đường Láng,1,7.5,7500.0,45.0,1,4.4,7,5,5,Ngõ
01,006,Pháo Đài Láng,1,24.0,24000.0,90.0,1,6.5,22,1,8,"Dòng tiền, Thang máy, Ngõ"
01,006,Đường Láng,1,220.0,220000.0,242.0,1,22.0,0,0,12,"Ô tô, Mặt phố, Kinh doanh, Thang máy"
01,006,Láng,1,12.99,12990.0,43.0,1,3.5,4,2,5,"Ô tô, Ngõ"
01,006,Tô Tiền,1,4.2,4200.0,24.0,1,3.0,3,3,4,Ngõ
01,006,Phạm Ngọc Thạch,1,9.9,9900.0,25.0,1,3.8,0,0,1,"Mặt phố, Kinh doanh, Ô tô"
01,006,Phương Mai,1,9.5,9500.0,45.0,1,4.1,7,4,4,"Ô tô, Kinh doanh"
01,006,Giảng Võ,1,5.8,5800.0,30.0,1,3.4,4,4,5,"Kinh doanh, Ngõ"
01,006,Trần Hữu Tước,1,11.8,11800.0,44.0,1,4.4,6,0,6,"Thang máy, Dòng tiền, Ngõ"
01,006,Tôn Đức Thắng,1,11.8,11800.0,40.0,1,4.5,4,0,4,"Ô tô, Kinh doanh, Ngõ"
01,006,Nam Đồng,1,14.95,14950.0,73.0,1,7.4,4,0,3,"Ô tô, Mặt phố"
01,006,Phạm Ngọc Thạch,1,10.3,10300.0,34.0,1,3.0,5,3,4,Ngõ
01,006,Hào Nam,1,16.9,16900.0,62.0,1,4.0,17,17,7,Ngõ
01,006,Hồ Giám,1,68.0,68000.0,241.0,1,6.0,0,0,4,"Ô tô, Kinh doanh, Ngõ"
01,006,Nguyễn Khuyến,1,63.0,63000.0,260.0,1,10.0,0,0,2,Mặt phố
01,006,Lệnh Cư,1,5.85,5850.0,33.0,1,5.6,4,0,5,"Dòng tiền, Ngõ"
