province,district,street,price_unit,price_value,price_absolute,area,type,front,room,toilet,floor,attributes
1,6,Đê La Thành,1,8.99,8990.0,25.0,1,4.5,1,1,5,"Ô tô, Mặt phố, Kinh doanh"
1,6,Thái Thịnh,1,10.8,10800.0,24.0,1,3.0,4,4,5,"Mặt phố, Kinh doanh, Ô tô"
1,6,Chùa Mỹ Quang,1,5.35,5350.0,33.0,1,3.5,6,6,5,Ngõ
1,6,Đông Tác,1,5.95,5950.0,49.0,1,4.0,5,5,5,Ngõ
1,6,Thổ Quan,1,7.9,7900.0,34.0,1,3.5,4,4,4,Ngõ
1,6,Chợ Khâm Thiên,1,6.1,6100.0,44.0,1,4.2,4,2,3,Ngõ
1,6,Kim Hoa,1,4.9,4900.0,20.0,1,2.3,5,6,6,Mặt phố
1,6,Thái Hà,1,12.9,12900.0,32.0,1,6.0,6,6,6,"Ô tô, Thang máy, Kinh doanh, Ngõ"
1,6,Chợ Khâm Thiên,1,6.3,6300.0,36.0,1,3.8,5,2,5,"Kinh doanh, Ô tô, Ngõ"
1,6,Tây Sơn,1,4.2,4200.0,31.0,1,3.5,3,3,4,Ô tô
1,6,Đường Láng,1,8.0,8000.0,56.0,1,4.1,8,4,4,"Kinh doanh, Ngõ"
1,6,Ô Chợ Dừa,1,20.7,20700.0,40.0,1,4.5,4,4,4,"Mặt phố, Kinh doanh"
1,6,Tôn Đức Thắng,1,23.0,23000.0,91.0,1,5.1,4,2,3,"Mặt phố, Kinh doanh"
1,6,Tôn Đức Thắng,1,24.0,24000.0,95.0,1,7.5,3,2,5,"Ô tô, Kinh doanh, Ngõ"
1,6,Khâm Thiên,1,35.0,35000.0,90.0,1,6.0,2,1,4,Kinh doanh
1,6,Nguyễn Khuyến,1,29.5,29500.0,101.0,1,4.0,10,6,6,"Mặt phố, Kinh doanh, Ô tô"
1,6,Trần Quý Cáp,1,4.05,4050.0002,21.0,1,2.4,5,5,5,Ngõ
1,6,La Thành,1,3.8,3800.0,33.0,1,3.0,5,3,4,Ngõ
1,6,An Trạch 1,1,8.6,8600.0,42.0,1,5.4,9,6,6,Dòng tiền
1,6,Trần Quang Diệu,1,34.8,34800.0,65.0,1,4.0,7,7,7,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền, Thang máy"
1,6,Lê Duẩn,1,9.6,9600.0,22.0,1,4.0,4,3,4,"Mặt phố, Kinh doanh"
1,6,Đường Láng,1,5.0,5000.0,25.0,1,3.0,5,5,5,Ngõ
1,6,Linh Quang,1,11.8,11800.0,55.0,1,4.0,8,6,5,"Ô tô, Kinh doanh, Ngõ"
1,6,Vĩnh Hồ,1,11.2,11200.0,60.0,1,3.3,6,4,4,"Ô tô, Mặt phố, Kinh doanh"
1,6,Lê Duẩn,1,2.95,2950.0,25.0,1,2.5,2,2,4,"Mặt phố, Kinh doanh, Ô tô, Dòng tiền"
1,6,Trần Quang Diệu (Tây Sơn),1,7.65,7650.0,31.0,1,7.2,3,3,5,Ngõ
1,6,Đê La Thành,1,5.75,5750.0,40.0,1,3.7,6,4,4,Ngõ
1,6,Đê La Thành,1,17.9,17900.0,72.0,1,4.2,7,3,5,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
1,6,Chợ Khâm Thiên,1,4.65,4650.0,24.0,1,3.0,3,3,4,Ngõ
1,6,Lương Định Của,1,8.95,8950.0,28.0,1,3.4,4,5,6,Ngõ
1,6,Vĩnh Hồ,1,9.3,9300.0,42.0,1,3.1,4,1,5,Ngõ
1,6,Nguyễn Lương Bằng,1,10.9,10900.0,45.0,1,3.6,5,2,3,Ngõ
1,6,Đặng Văn Ngữ,1,3.85,3850.0,22.0,1,3.6,4,2,4,Ngõ
1,6,Chợ Khâm Thiên,1,4.75,4750.0,25.0,1,4.0,4,2,4,Ngõ
1,6,Đường Láng,1,7.5,7500.0,45.0,1,4.4,7,5,5,Ngõ
1,6,Tô Tiền,1,4.2,4200.0,24.0,1,3.0,3,3,4,Ngõ
1,6,Phương Mai,1,9.5,9500.0,45.0,1,4.1,7,4,4,"Ô tô, Kinh doanh"
1,6,Giảng Võ,1,5.8,5800.0,30.0,1,3.4,5,4,5,"Kinh doanh, Ngõ"
1,6,Trần Hữu Tước,1,11.8,11800.0,44.0,1,4.4,6,6,6,"Thang máy, Dòng tiền, Ngõ"
1,6,Tôn Đức Thắng,1,11.8,11800.0,40.0,1,4.5,5,5,4,"Ô tô, Kinh doanh, Ngõ"
1,6,Nam Đồng,1,14.95,14950.0,73.0,1,7.4,4,4,3,"Ô tô, Mặt phố"
