province,district,street,price_unit,price_value,price_absolute,area,type,front,room,toilet,floor,attributes
01,005,Mặt phố C1 TT Nghĩa Tân,1,5.5,5500.0,70.0,1,7.0,2,2,1,"Ô tô, Kinh doanh, Dòng tiền"
01,005,Yên Hoà,1,8.58,8580.0,45.0,1,5.0,5,4,4,Ô tô
01,005,Cầu Giấy,1,8.65,8650.0,43.0,1,3.6,6,1,5,
01,005,Hồ Tùng Mậu,1,28.5,28500.0,100.0,1,6.9,29,29,8,"Ô tô, Dòng tiền, Thang máy"
01,005,Cầu Giấy,1,8.9,8900.0,35.0,1,3.4,6,2,5,
01,005,Mặt phố C2 Tập thể Học Viện CTQG ngõ 133 Nguyễn Phong Sắc,1,2.4,2400.0,60.0,1,3.0,2,1,1,
01,005,Mặt phố A11 Nghĩa Tân,1,7.92,7920.0,130.0,1,6.9,2,2,2,"Mặt phố, Kinh doanh"
01,005,Nghĩa Tân,1,8.0,8000.0,130.0,1,6.9,0,0,2,"Ô tô, Mặt phố, Kinh doanh"
01,005,Doãn Kế Thiện,1,23.6,23600.0,77.0,1,7.0,7,3,4,"Ô tô, Mặt phố, Kinh doanh"
01,005,Hoàng Quốc Việt,1,10.68,10680.0,72.0,1,6.0,8,4,4,
01,005,Cầu Giấy,1,10.9,10900.0,48.0,1,3.5,5,5,6,"Kinh doanh, Chung cư, Dòng tiền, Thang máy"
01,005,Cầu Giấy,1,47.5,47500.0,212.0,1,7.6,7,4,3,"Ô tô, Mặt phố"
01,005,Cầu Giấy,1,13.0,13000.0,81.0,1,3.9,5,3,2,Kinh doanh
01,005,Mai Dịch,1,28.0,28000.0,161.0,1,12.3,6,3,3,"Ô tô, Kinh doanh"
01,005,Mặt phố Tô Hiệu,1,29.0,29000.0,130.0,1,3.8,0,0,3,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
01,005,Mặt phố Hoàng Ngân,1,33.5,33500.0,71.0,1,4.0,12,8,7,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền, Thang máy"
01,005,Mặt phố Hoàng Quốc Việt,1,31.0,31000.0,63.0,1,3.5,10,0,6,"Mặt phố, Kinh doanh"
01,005,ABC Xuân Thuỷ,1,9.3,9300.0,36.0,1,6.0,6,4,6,
01,005,Trần Duy Hưng,1,16.5,16500.0,63.0,1,5.0,12,2,7,
01,005,Mặt phố Trần Đăng Ninh,1,20.5,20500.0,40.0,1,3.0,4,2,4,"Ô tô, Mặt phố, Kinh doanh"
01,005,Yên Hoà,1,9.5,9500.0,45.0,1,5.15,6,4,5,"Ô tô, Kinh doanh"
01,005,Mặt phố Đông Quan,1,24.6,24600.0,122.0,1,9.6,6,4,4,
01,005,Phùng Chí Kiên,1,18.2,18200.0,55.0,1,4.8,0,0,6,"Ô tô, Kinh doanh"
01,005,Khúc Thừa Dụ,1,9.0,9000.0,55.0,1,3.2,6,4,4,
01,005,Cầu Giấy,1,18.0,18000.0,98.0,1,5.5,15,14,5,
01,005,Mặt phố Dương Quảng Hàm,1,24.0,24000.0,173.0,1,3.6,0,0,2,"Mặt phố, Kinh doanh, Ô tô"
01,005,Hồ Tùng Mậu,1,8.6,8600.0,35.0,1,3.4,6,6,6,
01,005,Nguyễn Thị Định,1,260.0,260000.0,520.0,1,15.0,91,0,9,"Kinh doanh, Thang máy, Dòng tiền, Mặt phố"
01,005,Mặt phố 55 Trần Thái Tông,1,125.0,125000.0,192.0,1,8.0,0,0,8,"Mặt phố, Kinh doanh, Ô tô, Dòng tiền, Thang máy"
01,005,Mặt phố Hoàng Quốc Việt,1,265.0,265000.0,486.0,1,30.0,0,0,8,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền, Thang máy"
01,005,Mặt phố Mô tả chi tiết 55 B Trần Thái Tông,1,80.0,80000.0,160.0,1,8.0,8,0,8,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền, Thang máy"
01,005,Mặt phố Trần Duy Hưng,1,350.0,350000.0,1146.7,1,6.0,0,0,-1,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền, Thang máy"
01,005,B21 Nguyễn Thị Định Nguyễn Thị Định,1,142.0,142000.0,238.0,1,35.0,0,0,4,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
01,005,Cầu Giấy,1,10.6,10600.0,40.0,1,3.9,7,6,7,"Thang máy, Ô tô, Kinh doanh, Dòng tiền"
01,005,Trần Quốc Vượng,1,25.0,25000.0,96.0,1,10.0,36,36,7,"Kinh doanh, Chung cư, Dòng tiền, Thang máy"
01,005,Hồ Tùng Mậu,1,8.8,8800.0,55.0,1,4.4,15,15,6,"Dòng tiền, Thang máy"
01,005,Lạc Long Quân,1,8.1,8100.0005,30.0,1,5.5,8,5,5,"Ô tô, Kinh doanh"
01,005,Mặt phố Nguyễn Khả Trạc,1,35.0,35000.0,108.0,1,15.0,15,0,4,"Mặt phố, Kinh doanh, Ô tô"
01,005,Mặt phố Nguyễn Chánh,1,27.2,27200.0,62.0,1,4.0,10,0,5,"Ô tô, Mặt phố, Kinh doanh, Thang máy"
01,005,Dương Quảng Hàm,1,8.6,8600.0,39.0,1,4.7,5,4,5,
01,005,Quan Nhân,1,22.0,22000.0,82.0,1,6.5,10,5,5,"Ô tô, Kinh doanh, Mặt phố"
01,005,Trần Thái Tông,1,60.0,60000.0,323.0,1,12.0,50,51,6,"Ô tô, Kinh doanh, Chung cư, Dòng tiền, Thang máy"
01,005,Mặt phố Cầu Giấy,1,89.0,89000.0,263.0,1,6.1,0,0,2,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
01,005,Mặt phố Xuân Thuỷ,1,44.0,44000.0,110.0,1,4.0,0,0,8,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền, Thang máy"
01,005,Mặt phố Trần Thái Tông,1,920.0,920000.0,3269.0,1,70.0,7,0,-1,"Mặt phố, Kinh doanh, Dòng tiền, Ô tô"
01,005,110.26 Trần Duy Hưng,1,66.0,66000.0,150.0,1,6.0,25,25,9,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền, Thang máy"
01,005,Mặt phố Đông Quan,1,26.0,26000.0,82.0,1,8.5,5,0,4,"Mặt phố, Kinh doanh, Ô tô"
01,005,Nguyễn Phong Sắc,1,18.0,18000.0,90.0,1,3.6,8,0,5,"Mặt phố, Ô tô, Kinh doanh"
01,005,Mặt phố Mạc Thái Tông,1,195.0,195000.0,253.0,1,20.0,0,0,9,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền, Thang máy"
01,005,Mặt phố Yên Hoà,1,20.9,20900.0,49.0,1,7.0,6,1,6,
01,005,Mặt phố Nguyễn Khang,1,36.5,36500.0,64.0,1,6.1,0,7,8,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền, Thang máy"
01,005,Trần Thái Tông,1,8.36,8360.0,44.0,1,5.4,9,9,5,Dòng tiền
01,005,Dịch Vọng,1,10.6,10600.0,62.0,1,3.1,8,3,5,
01,005,Phạm Văn Đồng,1,5.86,5860.0,30.0,1,4.8,6,5,5,
01,005,Cầu Giấy,1,5.5,5500.0,30.0,1,3.9,3,0,3,
01,005,Trần Bình,1,5.55,5550.0,38.0,1,3.2,5,3,4,
01,005,Mai Dịch,1,10.5,10500.0,68.72,1,3.6,2,1,2,Dòng tiền
01,005,Lạc Long Quân,1,12.0,12000.0,76.0,1,6.8,2,0,4,
01,005,Trung Kính,1,33.5,33500.0,69.0,1,5.2,2,7,8,"Ô tô, Kinh doanh, Dòng tiền, Thang máy"
01,005,Hồ Tùng Mậu,1,16.0,16000.0,60.0,1,5.0,18,18,10,"Dòng tiền, Ô tô"
01,005,D6 Tô Hiệu,1,6.9,6900.0,100.0,1,6.8,2,1,1,
01,005,Trần Bình,1,8.5,8500.0,40.0,1,4.7,8,8,5,
01,005,Mặt phố Nguyễn Ngọc Vũ,1,7.2,7200.0,60.0,1,5.0,0,0,2,
01,005,Yên Hòa,1,9.95,9950.0,62.0,1,12.0,11,7,6,
01,005,Nguyễn Khang,1,6.5,6500.0,32.0,1,3.2,3,1,4,
01,005,Nguyễn Văn Huyên,1,19.5,19500.0,78.0,1,4.0,12,0,7,"Ô tô, Kinh doanh, Dòng tiền"
01,005,Nguyễn Ngọc Vũ,1,9.8,9800.0,51.0,1,5.0,8,5,5,
01,005,Mặt phố Nguyễn Ngọc Vũ,1,39.0,39000.0,110.0,1,6.5,8,0,4,"Mặt phố, Ô tô, Kinh doanh"
01,005,Lạc Long Quân,1,17.0,17000.0,86.0,1,5.1,21,21,6,"Kinh doanh, Dòng tiền, Thang máy"
01,005,Cầu Giấy,1,11.8,11800.0,58.0,1,6.0,11,11,6,"Dòng tiền, Thang máy, Kinh doanh"
01,005,Mặt phố Trần Vỹ,1,57.5,57500.0,150.0,1,5.3,14,14,7,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền, Thang máy"
01,005,Mặt phố Trần Vỹ,1,57.5,57500.0,150.0,1,5.3,14,14,7,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền, Thang máy"
01,005,Dương Quảng Hàm,1,13.9,13900.0,83.0,1,6.5,0,0,4,
01,005,Cầu Giấy,1,21.0,21000.0,82.0,1,5.8,8,0,7,"Ô tô, Kinh doanh, Thang máy"
01,005,Dịch Vọng,1,63.0,63000.0,275.0,1,17.0,6,2,4,
01,005,Trung Kính,1,18.2,18200.0,81.0,1,5.3,11,0,6,"Ô tô, Kinh doanh, Chung cư, Dòng tiền"
01,005,Mai Dịch,1,22.5,22500.0,80.0,1,4.3,11,6,7,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
01,005,Mặt phố Dương Đình Nghệ,1,62.0,62000.0,107.0,1,5.4,0,0,9,Mặt phố
01,005,Lạc Long Quân,1,51.5,51500.0,100.0,1,5.8,20,0,9,"Ô tô, Dòng tiền, Thang máy, Kinh doanh"
01,005,Mặt phố Mạc Thái Tổ,1,24.0,24000.0,50.0,1,4.0,8,1,6,Mặt phố
01,005,Nguyễn Văn Huyên,1,19.0,19000.0,63.0,1,4.1,5,1,5,"Ô tô, Kinh doanh"
01,005,Trần Quốc Hoàn,1,14.8,14800.0,40.0,1,4.0,0,0,6,"Ô tô, Thang máy"
01,005,Mặt phố Phan Văn Trường,1,15.8,15800.0,36.0,1,3.3,0,0,6,"Mặt phố, Kinh doanh"
01,005,Trần Bình,1,22.0,22000.0,90.0,1,13.0,25,25,6,"Dòng tiền, Thang máy"
01,005,Hồ Tùng Mậu,1,10.3,10300.0,40.0,1,4.4,6,5,6,"Ô tô, Kinh doanh, Thang máy"
01,005,"Mặt phố Toà nhà 15 tầng, 4F Nam Trung Yên",1,4.8,4800.0,85.0,1,5.0,2,2,1,Chung cư
01,005,Mặt phố Nguyễn Thị Định,1,35.0,35000.0,51.0,1,4.1,4,2,5,"Mặt phố, Kinh doanh"
01,005,Trần Quốc Hoàn,1,13.8,13800.0,45.0,1,4.1,10,6,6,"Ô tô, Kinh doanh"
01,005,Quan Hoa,1,14.0,14000.0,60.0,1,6.8,11,11,5,
01,005,Cầu Giấy,1,7.5,7500.0,33.0,1,4.2,5,5,6,
01,005,Cầu Giấy,1,9.7,9700.0,49.0,1,5.0,10,10,6,"Kinh doanh, Dòng tiền, Thang máy"
01,005,Nguyễn Ngọc Vũ,1,25.0,25000.0,102.0,1,4.2,6,0,4,"Ô tô, Kinh doanh, Thang máy"
01,005,Trần Thái Tông,1,12.2,12200.0,51.5,1,5.0,9,9,4,"Kinh doanh, Dòng tiền"
01,005,Cầu Giấy,1,7.2,7200.0,38.0,1,3.8,5,3,5,
01,005,Mặt phố T4 Hoàng Đạo Thúy,1,11.4,11400.0,235.0,1,8.0,6,4,1,"Chung cư, Thang máy, Ô tô"
01,005,Mặt phố Hoa Bằng,1,64.0,64000.0,315.0,1,13.0,2,0,5,
01,005,Nguyễn Khang,1,36.5,36500.0,120.0,1,7.0,10,8,3,"Ô tô, Mặt phố, Kinh doanh"
01,005,Doãn Kế Thiện,1,40.0,40000.0,165.0,1,3.0,60,60,9,"Ô tô, Dòng tiền, Thang máy"
01,005,Nguyễn Ngọc Vũ,1,19.0,19000.0,102.0,1,6.5,0,0,1,"Ô tô, Dòng tiền, Kinh doanh"
01,005,Hoàng Ngân,1,12.8,12800.0,74.0,1,3.3,0,0,-1,
01,005,Lạc Long Quân,1,12.0,12000.0,76.0,1,6.8,0,0,4,
01,005,Dịch,1,4.5,4500.0,26.8,1,8.0,2,2,2,"Kinh doanh, Mặt phố, Ô tô"
